Company,Total Funding,Funding Rounds,Founders
build3,null,null,['Nikit Gupta']
BuildFast,null,null,['Uday Agarwal']
Bullwhip,null,null,['nicole zephyr']
Buntikki Technologies,null,null,['Kaundinya Kasibhatla']
BWZ Marcom,null,null,['Hemashree S']
Bynd,null,null,['David Thomson']
ByteXL,null,null,['Karun Tadepalli']
C3 AI,null,null,"['Dhruv Vashisht', 'Shivani Modi']"
Calyb AI,null,null,['Sannat Mengi']
Cantilever Labs,null,null,['avanish mundhra']
CanvasJS,null,null,['Sunil Urs']
CapitalVia,null,null,['Rohit Gadia']
Captivaprime,null,null,['Vinay Rana']
Carbon Trail,null,null,['Shantanu Singh']
Careervita.in,null,null,"['Sandra Salikumar', 'Anush Tiwari']"
CarePay,null,null,"['Jemimah Onaya', 'Anuradha Hiremath', 'mario voorbij']"
cargo-partner,null,null,"['James Midgley', 'Vjeran Ortynski', 'Vladimir Lacic']"
Cars24,null,null,"['Abhishek kumar', 'Nirav Barokar', 'Charle Meenu Prabhat']"
CBCatalyst,null,null,['Nikhil Jaipuria']
CBIS India,null,null,['Business CBIS']
CDSpace Robotics,null,null,"['Krishnraj Singh Gaur', 'Nikhil Upadhye']"
Centre for Brain Research,null,null,"['Centre for Brain Research', 'Centre for Brain Research']"
Cerebral Works,null,null,['Anand Balakrishnan']
CerebralZip,null,null,"['Nishchal Mundotia', 'Hiring Manager', 'Aum Patil']"
Cerebria Tech,null,null,['Dale Kirkwood']
chainfly,null,null,['Lakshay Taneja']
Chaoswale,null,null,['Ankur Goel']
Charyas,null,null,['shorjoe bhattacharya']
ChicChicApp,null,null,['Liutauras Mazonas']
Chimp Socio,null,null,['Narender Gulati']
CIC,null,null,"['Osvaldo Ayala', 'Greg Berkin']"
Cipherness,null,null,['sam senthil']
CipherSchools,null,null,"['Adhiraj Chauhan', 'Raunak Bhardwaj', 'Manit Saharan']"
Circles.Life,null,null,"['John Epok Pascual', 'Rajesh Kumar Singh', 'Pujya Medappa']"
Cirkled in,null,null,"['Prashant Shukla', 'Reetu Gupta']"
Clappia,null,null,"['Sarthak Jain', 'Pramod Ghorpade', 'Ashutosh Kumar']"
ClayWorks,null,null,"['Rahul Singh', 'Abhijith Shashidhar']"
Cliperact,null,null,['Cliperact Labs']
CloudDefense.AI,null,null,"['MOHAMMAD MAAZ', 'Amit Prakash', 'Md.Nazmul Hassan']"
CloudNextGen IT Software Solutions,null,null,['CloudNextGen IT']
Cloud Peritus,null,null,"['Lokesh Pepala', 'Satish Ch', 'Bhargav G']"
CloudQA,null,null,['Arun Kulkarni']
CloudVandana Solutions Pvt.Ltd,null,null,['Shobitha CC']
Cloudwick,null,null,['Suvrat Sharma']
Cloud Xperte,null,null,['Shoeb Khan']
Clyzo,null,null,['SHRADHA SINGH']
C-Mart Solutions,null,null,"['TIMOTHY GONZALEZ', 'Anwesh Singh']"
Cobalt,null,null,"['Ayas Ahmad', 'Stella Kim', 'Tristan Zimmerman']"
Cobotiks,null,null,['ANKUR KUMAR SRIVASTAVA']
COCO,null,null,['Rashied Tyre']
Coddle Technologies,null,null,"['Vidhya J', 'Anjali Ramchandani', 'Sidharth Suresh']"
Codebuddy,null,null,['K Ashwin']
CodeFobe,null,null,['Sahil Sharma']
Codeft Digital,null,null,"['Rahul Varadareddi', 'Pavan Pudipeddi']"
CodeMate AI,null,null,['Ayush Singhal']
codemech solutions,null,null,['HR codemech solutions']
Codemonk,null,null,"['Niranjan Paranjape', 'Aakash Dharmadhikari']"
CoderRound,null,null,"['chet gandhi', 'Sagar Kotian', 'Bhavya Chopra']"
Codescure Technologies,null,null,['Nayan Mehta']
Codevidhya,null,null,['Rajesh Choudhary']
Codewalnut,null,null,"['Sarath Kumar G', 'Vinson Wilfred']"
codeyoung,null,null,"['Aanchal Mangla', 'Parth Mehra']"
codruth technology,null,null,['Himanshu Kathane']
Cofiato,null,null,"['Aastha Gupta', 'Savvy Jain']"
Cognicraft Technologies,null,null,['Sai Sharan Tangeda']
Cohesity,null,null,"['Ravi Pindiproli', 'Mohit Aron']"
Coin Chemistry,null,null,['Jayteerth Katti']
CoinFantasy,null,null,['Gayathri GL']
CoInvent AI,null,null,"['Archit Karandikar', 'Sanjeev Shenoy']"
Collegedekho.com,null,null,"['Yash Dhamija', 'Madhav Kothari', 'Prateek Yadav']"
College Gyan,null,null,['Rameshwar Bhati']
Comini Learning,null,null,['Sai Gaddam']
CommerceCentral.ai,null,null,['Shivang Maheshwari']
Commutatus,null,null,['Michael Kevin Victor']
Connectnext Technologies,null,null,['Priyobrato Chatterjee']
Content Beta,null,null,['Rishabh Bhandari']
ContentKosh,null,null,['Deepali Chhatwani']
ContexQ,null,null,['Ajay Kakarania']
Convoso,null,null,"['Bobby Hakimi', 'Nima Hakimi']"
CookUnity,null,null,['Mateo Marietti']
Core Corporates,null,null,['Deepak Kumar']
CoRider,null,null,['Niladri Das Roy']
Corvee,null,null,"['Michael Bergman', 'Amanda Argue']"
CoTeach,null,null,['Rachiket Arya']
CraftMyPlate,null,null,['Nirnay Vanjari']
Creative Upaay,null,null,['Ashish Dev']
Creature Industry,null,null,['sadiya bano']
CreditSea,null,null,"['Shubham Khilari', 'Samarth Joshi', 'Digambar Jail']"
Crego,null,null,['Nisha Lalwani']
CregX,null,null,['Anil Bhargav']
Cricketpedia,null,null,"['Sumedh Chaudhry', 'Romesh Khaddar', 'Shikha Chaudhry']"
Crop.photo,null,null,['Rahul Bhargava']
Cryenx Labs,null,null,['Himanshu Sharma']
CryptoXpress,null,null,['Zeeshan M']
CSDirekt,null,null,['Ragini Kaushal']
C-Tray,null,null,['Sunain Dhingra']
CtrlAltHeal,null,null,['Dr Priyanka Gupta']
CtrlDev,null,null,['Hitesh Sharma']
CubeInnovators Technologies,null,null,['sreenath b']
Cuebo.ai,null,null,"['Priyank Jain', 'Manas Jain', 'Amanbir Singh']"
CultSoft,null,null,"['SOUMYADEEP GHOSH', 'Sourav Das', 'Akash Paul']"
Culturro,null,null,['Ashish Manchanda']
Curie Money,null,null,['Tushar Choudhary']
Cyberlence,null,null,['Rajasekhar V']
Cybernara,null,null,['Chirag Goswami']
Cynapto Technologies,null,null,['Pratik Arya']
Cypherock Wallet,null,null,"['Vipul Saini', 'Rohan Agarwal']"
danamojo.org,null,null,['Dhaval Udani']
daP2,null,null,['Rishul Chanana']
DarkRelay Security Labs,null,null,['ChandraShekar M']
Databook,null,null,"['Alex Barrett', 'Anand Shah']"
DataBrain,null,null,['Manish Saraf']
Data Jewel Tech,null,null,['Shubham Agarwal']
Dataseers Technologies,null,null,"['Vaibhavi Deo', 'Pradeep Vishwakarma', 'Rohit Parte']"
DataTroops,null,null,['Jashan Goyal']
DataWeave,null,null,"['vikranth ramanolla', 'karthikbr']"
Davis Index,null,null,"['Richard Chinnayya', 'Reethika Manivannan', 'Simran Thind']"
Da Werben Services,null,null,['Da Werben']
Dealintent,null,null,['Raj Baruah']
Dealsplus,null,null,['Greg Kwangrog Kim']
Deepak Cybit,null,null,['Kapil Bhonge']
Deepfleet,null,null,"['Arun Vijayan (Deepfleet)', 'Jijoy C']"
Defhawk TechServices,null,null,['Swati Laxmi']
Delightree,null,null,"['Madhulika Mukherjee', 'Tushar Mishra', 'Madhulika Mukherjee']"
deliverIt,null,null,['Mohit Badwal']
Delivery Solutions,null,null,"['Arshaad A Mirza', 'Manil Uppal']"
demandcurvemarketing.com,null,null,"['Kannan J M', 'Malik M', 'HR Team DCM']"
Dentira,null,null,"['Aamir Mir', 'Dinesh Babu', 'Aman Kumar']"
Dentistry Automation,null,null,['Rajeev Bhatia']
Deutsche Telekom Digital Labs,null,null,"['Anurag Tiwari', 'himanshu garg', 'Ashok Pandey']"
DevCare solutions,null,null,"['Sathya Narayanan', 'Syed Rizwan Hussain', 'Jayanthan Balasingam']"
Dev fusion cohort,null,null,['Lakshay Gupta']
devrev.ai,null,null,"['Veenu Choudhary', 'Mollie Holland', 'Katherine Cherry']"
DevZero,null,null,"['Zuhair AlSader', 'Jason Gonzales', 'Shubham Kumar']"
Diagnal Technologies,null,null,"['Shiju Shaji', 'Lakshmi Balakrishnan', 'Sreeshma MS']"
Digit88,null,null,['Dheeraj Sood']
Digital Trons,null,null,['Mansi Thakkar']
Diigoo,null,null,['sainath tangallapally']
Dil foods,null,null,"['Anandi Danodia', 'Latha Yuvaraj']"
Discovery Kitchen,null,null,['Lenold Sequeira Vaz']
