Company,Total Funding,Funding Rounds,Founders
SaveIN Money,null,null,"['Chain Singh', 'Sagar Chauhan', 'Jitin Bhasin']"
Savormetrics,null,null,"['Max Ginsburg', 'AbdulRahman Khodr', 'Jason Boulet']"
Scaletrix,null,null,['Vaishali Bhadula']
SchbangQ,null,null,['Deepak Choubey']
ScopeX Fintech,null,null,['Milan Agrawal']
ScrapGenie,null,null,"['Supritha Gowrish', 'Sakshi Kabra']"
Scribie,null,null,['Rajiv Poddar']
Scrow,null,null,['Amit Kumar']
Secure Machines,null,null,['Shreenivas Hegde']
Securly,null,null,['Maurice McClain']
Securr,null,null,['Suhrad Makwana']
Seedify,null,null,"['Tineil Govender', 'Mariano Malisani', 'Ahmed Zayed']"
Segritech,null,null,['Hetendra Singh Rathore']
Seldom Labs,null,null,['Ishan Varshney']
SellersCommerce,null,null,['Ashok Reddy']
Selling My House Atlanta,null,null,['Samarth Siddaraj']
SenecaGlobal,null,null,"['Hareesh Ponnam', 'Shaik waseem', 'manasa ponaganti']"
SensorX Solutions,null,null,['Sanket Bhatia']
senzcraft technologies,null,null,['HR Senzcraft']
ServCrust,null,null,['Swathi Reddy Munge']
SettleMint India,null,null,"['Pallavi Joshi', 'Pallavi Joshi', 'Naman Bhardwaj']"
Settlrs,null,null,['Nishanth Janadri']
SFHL Innovations,null,null,['Ashish Sharma']
Sharpsell.ai,null,null,"['Ramesh Bhat', 'Apoorva Chauhan', 'Saravana Kumar']"
Shifu Ventures,null,null,['Kevin Roby']
Shipdehop,null,null,['Vinod Ashok Chinnannavar']
Shiprocket,null,null,['Shiprocket Shipping Company']
Shopcardd,null,null,['ShopCardd Dicount Ka JuGaad']
ShopClips,null,null,['Hrishikesh Dahiya']
Shoshin Tech,null,null,['Shanmukha C']
Shout Networking,null,null,['Karan Malik']
Shrus Eternity,null,null,['Bhuvana Srinivasan']
Siart Design Systems,null,null,['Shrishti Kushwaha']
SignalsHQ,null,null,"['Mohit Kumar', 'gaurav pansari']"
SignDesk,null,null,['Bharat V']
Silstone Health,null,null,['Amol Dutal']
simulus Automation,null,null,['Harini kashyap']
Skellam AI,null,null,['Anoop Mohan']
SkilD Education,null,null,['Aditya Vandhye']
SkillsCV,null,null,['Raj Desai']
SkillTurk Automation,null,null,['Nandini Jain']
Skoob.ai,null,null,['V Nichita']
S Kumar Transports,null,null,['S K Puneeth Kumar']
SkyahStudio,null,null,['Naya Ponnamma']
SkyFunnel AI,null,null,['Aman Gupta']
Skynet Technologies,null,null,"['Mohit Nirmal', 'Sabir Khatib', 'Paras Dalsaniya']"
Skyshine Technologies,null,null,['Akash S']
Slarity,null,null,"['Arun Srinivasan', 'Anish Kumar Srinivasan']"
sliksync Technologies,null,null,['Akshay Gulati']
Slooze,null,null,"['Mohit G', 'Slooze Careers']"
SmallBigGrowth,null,null,['Priyesh Thakkar']
Smart Audit,null,null,['Anshul jain']
SmartBulls,null,null,['Smart Bulls']
SmartCoin Financials,null,null,"['Jayant Upadhyay', 'Amit Chandel']"
Smarten Spaces,null,null,"['Sree Nithish', 'kanika jerath', 'Dinesh Bodipati']"
Smarter Dharma,null,null,['Sriram Kuchimanchi']
Smart Mate,null,null,"['Priyanka Kannan', 'Marisa Dmello']"
SmartRent,null,null,"['Austin VanderVelde', 'Brent Szymkowski', 'Jeremiah Anderson']"
Smashed Agency,null,null,['Sanskar Saxena']
SMERGERS,null,null,"['Krishna Bharadwaj', 'Vishal Devanath']"
SM Trade Co,null,null,['Pranav Gaikwad']
SocialPilot,null,null,"['Jimit Bagadiya', 'Tejas Mehta']"
softEXedge,null,null,['Sidhartha Parasramka']
Solarisbank,null,null,"['Tomasz Jaśkiewicz', 'SUDHANSHU SINGH']"
Solulever,null,null,"['jatin dumka', 'Priyanshi Garg']"
SonicLinker,null,null,['Sonic Linker']
Soroco,null,null,['John Jinto DSouza']
Soulera,null,null,['Nihil Parmar']
Soulpage IT Solutions,null,null,"['Lekhaj reddy', 'Radha Y', 'Vikas Saini']"
SourceSmart,null,null,"['Raimond Murakas', 'Nisar Ahmed']"
SpaceBoat,null,null,['Samarth Agarwal']
SpaceRelays,null,null,['Manasvi Bhatt']
Spaces,null,null,['Hans Larsen']
Sparky AI,null,null,['Saurabh Arora']
Sparsh Magic,null,null,['Jitendra Uttwani']
Spearmint.online,null,null,"['Tanushka Tyagi', 'Ashish Raj', 'Ashish Raj']"
Spenza,null,null,"['Richard Neville', 'Vinaychandra Bharadwaj']"
Spice Advisors,null,null,['Keshav Bansal']
Spiralyze,null,null,"['Gajan Retnasaba', 'Ali Nasser']"
Spiritual Data,null,null,['Joshua Mathias']
Splingle Edutech,null,null,['Keerthanashree J M']
Sponsorlytix,null,null,['Omar Al Raisi']
SpotBuzz,null,null,['Anurag Das']
SquareYards,null,null,"['Vasundhara Prasad Gopaliya', 'Shivam Chopra', 'Siddharth Agrawal']"
SR Next,null,null,['Mahima R']
StablPay,null,null,['Aditi Halder']
StackBOX,null,null,['Rebecca Stephens']
StackPro,null,null,['Sidharth Chhawchharia']
Stakehub.uk,null,null,['Hershey Hershey']
Staple,null,null,['Deepanshu Malviya']
Starfolio,null,null,['Peter Bowden Jr']
Starkenn Technologies,null,null,"['Tarun Kumar', 'Shubh Pareek', 'Ayush Gour']"
Start Coloring,null,null,['HRD StartColoring']
stealth mode startup,null,null,"['Almog Baku', 'Yu Dong', 'Tushar Makhija', 'Sheng Zhong', 'Justin Lin', 'Abhimanu Kumar']"
Stealth Mode Startup,null,null,"['Almog Baku', 'Yu Dong', 'Tushar Makhija', 'Sheng Zhong', 'Justin Lin', 'Abhimanu Kumar']"
Steps AI,null,null,['Suhas J']
Stimuler,null,null,"['MOHIT PANWAR', 'Jogender Saini']"
Storable,null,null,"['Gopi Krishna', 'Syed Yaqub Ali', 'Rani Kamuni']"
StoreHippo,null,null,['Rajiv Kumar']
StoryTech,null,null,['Manikanth Challa']
Strivik Business Solutions,null,null,"['Sudheer Nishad', 'supriya kamble', 'Jessica Joseph']"
Studio137 Digital Media Solutions,null,null,['Stephen Diederichs']
Stylabs Technologies,null,null,"['Himanshu Sarda', 'Ajay Prabhu']"
Sukoon Unlimited,null,null,['Vibha Singal']
Sumaaroh,null,null,['Aditya Garg']
Sunday Mattresses,null,null,['Alphonse Reddy']
Supercharged,null,null,['Harry Massey']
Superfuel AI,null,null,['Upasana Kayal']
SuperKalam,null,null,['Aseem Gupta']
Superlevel technologies,null,null,['Danush Kumar']
super.money,null,null,['Ekambeer Singh']
Superplum,null,null,['RAJESH KUMAR SHARMA']
SuperProcure,null,null,"['AAKRITI RAI', 'Jyothsna Samanth', 'Simran Saini']"
Superset,null,null,"['Peter Coles', 'Taylor Pemberton']"
Super Space AI,null,null,['Dhanendrakumar Ramachandran']
Superteams.ai,null,null,['Neha Singh']
Suraasa,null,null,"['Ayur Kasliwal', 'mihir bagchi']"
Sustenergy Solutions,null,null,['Ashish Pratap Singh']
Suventure,null,null,"['Diksha Choudhary', 'Swati S']"
Swabhav Techlabs Talent Solution Partner,null,null,['Swabhav Techlabs']
Swageazy,null,null,['Sameer Wahie']
Swaragh Technologies,null,null,['Raghavendra Jayaramaiah']
Swara Tech,null,null,['Diyora Viral']
Swastya.ai,null,null,['Apoorv Katiyar']
Swish,null,null,"['Brad Stronger', 'Iolanthe Chronis']"
Swym,null,null,['Arvind Krishnan']
Synlex Technologies,null,null,['Yatharth Garg']
Syyclops,null,null,"['SME HR', 'Thangamma AP']"
Tadaang,null,null,['Shyam Surendran']
Tagbox,null,null,"['Saumitra Singh', 'Adarsh Kumar', 'Sameer Singh']"
Tailored AI,null,null,['Devavrat Mahajan']
Take-Two Interactive Software,null,null,"['Shane Smith', 'Ting Gao', 'Ross Cybul']"
Tandemloop,null,null,['SUSHEEL KUMAR P']
taqtics,null,null,"['Vivek Azad', 'Taqtics Admin', 'Lionel Melrick Rodrigues']"
Tara Capital Partners India,null,null,['Adil Sandalwala']
Techamber,null,null,['Safi abdullah']
Tech In A Tux,null,null,['Tadhg Gunnigle']
Techniqa Solutions,null,null,['Aakash Patwa']
Technophilic,null,null,['Rahul Dubey']
TechnoXander,null,null,['Biswojit Mohapatra']
TechStaunch,null,null,['Riddhi Parekh']
TechUp Labs,null,null,['Chirag Lathiya']
Tether,null,null,"['Patrick Hankinson', 'Stephen Hankinson', 'Tim Burke']"
Thalia Technologies,null,null,"['Sanket Sonawane', 'Pawan More']"
ThankUPet,null,null,['Liya Lee']
That Sassy Thing,null,null,['Sachee Malhotra']
theafterschool.club,null,null,['Aashu Manchali']
The Alter Office,null,null,"['Roshin Daivik', 'Surendiran S', 'Mugesh M']"
The Data Taskers,null,null,['The Data Taskers HR']
The Design Lime,null,null,['Srivatsa Mudumby']
The Editor Suite,null,null,['Vaidehi Tholia']
The Fast Way,null,null,"['Geeta Sudesh Dhotre', 'Priya Kumari', 'Divya Mohnani']"
The Foreign Language Institute,null,null,['Krupal Nathvani']
TheGreenCommerce.in,null,null,['Naisar shah']
The Mad Dresser,null,null,['Tanvi Gupta']
The Motion Story,null,null,['Tejas Shah']
The Mystic Lotus and Dragonflies,null,null,['Amrish Arjun']
The Planet Health Tv,null,null,['Yogesh on behalf of Anurag KULSHRESTHA']
Thera,null,null,"['Sabarish S', 'Lillian Chou']"
The Real Estate Connect,null,null,['SUJATA MUDAKAVI']
The S.Bhandari Group,null,null,['Deepika J']
TheSocials,null,null,['John Mark']
The Soluna Experience,null,null,"[""Ruth D'Roza""]"
The SportsRush,null,null,['Samarth Karan']
The Supreme Brand,null,null,['The Supreme Brand']
The unity wave,null,null,['Varshika kashyap']
Thinkify Labs,null,null,['karthik k']
Thinking Stack,null,null,"['Karthik CR', 'Vikas Gupta']"
ThoughtsWin Systems,null,null,"['Ayush Singhal', 'Kanika Kaliwal']"
Thumbmunkeys Technologies,null,null,['Ankit Mathur']
tickete,null,null,['Chetan Mahajan']
Tiger Analytics,null,null,"['Suresh Kumar', 'Abhishek Modi', 'Gopal Kalpande']"
TIKAJ,null,null,"['Anamika Srivastava', 'Ashutosh Aswani', 'Ushma Singh']"
Timbuktu,null,null,"['Gareth Jones', 'Cordula Pfluegl', 'Archie Leeming']"
timepay.ai,null,null,['Vedant Valia']
TinyPal,null,null,['Harshavardhana Reddy Donthireddy']
TIST Media,null,null,"['Hazel Cardoza', 'Adhyan Makwana', 'Tarun Nathani']"
Tonbo Imaging Pvt.Ltd,null,null,"['Ankit Kumar', 'Sudeep George', 'Arvind Lakshmikumar']"
ToppersNotes,null,null,['Ayush Agarwal']
Torero Softwares,null,null,"['Rahul Bhalerao', 'Simran Jain']"
TorkeHub,null,null,['Naman Malhotra']
Touch Technologies,null,null,['Dave Montellato']
TPEG International,null,null,"['Zulfequar Ali Khan', 'Chhaya Yadav']"
Trackier,null,null,"['Udit Verma', 'Faizan Ayubi']"
Trackzio,null,null,['Aayushya Aggarwal']
TractUs,null,null,"['Leslie Black', 'Leslie Black', 'Tractus Online']"
Training Vision,null,null,['Indira Ramesh']
Translingoworld,null,null,['Nuzra Khan']
TraviYo,null,null,"['Chirag Singh Rajput', 'Eakagrah Srivastava', 'Shivani Nigam']"
travokarma,null,null,['Ojas Tyagi']
Triangle Software Solutions,null,null,['Jesna Vincent']
Trikon,null,null,"['Trikon Business Solution', 'Rishabh Singh']"
Trimpixel,null,null,"['Nikhil Pandey', 'Alok Singh Mahor', 'Prakhar Saxena']"
Troopr.ai,null,null,['Raj Shanmugam']
Truco,null,null,['Shuaib Yusoof']
Truflect,null,null,['Aman Kumar']
Truworth Health Technologies,null,null,['Niyati Abani']
tryCoM AI,null,null,['Annamalai Kathir (AK)']
Tryndbuy,null,null,['Prashant Choudhary']
Tutcart,null,null,"['Sneha Verma', 'Shivani Malik', 'Aayush Bisht']"
Twenty20Systems,null,null,"['Prernna Barla', 'Chashma Chinnamma']"
TWF Flours,null,null,['Ann Vincent']
uFaber,null,null,"['anirudh swarnkar', 'Rohit Jain']"
ulai,null,null,['Santosh Patil']
Ultrahuman,null,null,"['vatsal singhal', 'Mohit Kumar', 'Adhit Shet']"
Underscore Software,null,null,['Shubhada Fuge']
UniAcco,null,null,"['Aditya Chakraborti', 'Aditya Chakraborti', 'Rajesh Bhattarai']"
UnicMinds,null,null,['Alpha Sahoo']
UniSouk,null,null,['Siddhant Sarkar']
Unity,null,null,['Ante Matijaca']
Unwired Labs,null,null,['Gopi Aravind']
upGrad,null,null,['Valérie Djoumessi']
UrbanDart,null,null,['Nithin Baalay']
UrbanMatch,null,null,['Aryavrat Goenka']
UsefulBI,null,null,"['shobha stalin', 'Amit Gupta', 'Rini Jain']"
Uservox,null,null,"['Shraddha Srivastava', 'Saurabh Mathur']"
Usil Technologies,null,null,['Punam Lade']
Vaave,null,null,['Paresh Masade']
Vaia Climate,null,null,['Tejas Vyas']
Valiance Solutions,null,null,"['Shailendra Singh', 'Vikas Kamra (We are hiring for #datascience &amp; #machinelearning profiles)']"
Valour Capital,null,null,['Kunal Sawant']
ValuEnable,null,null,['Mithil Sejpal']
VANTA Nutrition,null,null,['Adrian Mayr']
Vapronix Web,null,null,"['Shobhit Pandey', 'Ashutosh Kumar']"
Vayavya Labs,null,null,['RK Patil']
VdoCipher,null,null,"['Vibhav Sinha', 'Siddhant Jain']"
VectorHive,null,null,['Gav Chandra']
Vectra AI,null,null,"['Andrew Leader', 'Maxwell Teranen']"
Vegavid Technology,null,null,['Mohit Sirohi']
Velocity,null,null,"['Jovana Blagojevic', 'Marine Dumontier', 'Rachel Pautler']"
Velotio Technologies,null,null,"['Chirag Jog', 'Kalpak Shah']"
Ven Analytics,null,null,['Rincy Jain']
Vendever,null,null,['Nirmit Srivastava']
Vendorship,null,null,['Shiv N']
VenueMonk,null,null,"['Ritwik Sahoo', 'Aditya Goyal', 'Rahul Rupani']"
Verbals,null,null,['Yashu Mittal']
Vested Technology,null,null,"['Dave Patterson', 'David Brook']"
Vibe Gurukul,null,null,['Kushagra Chauhan']
VibeZ,null,null,['Austin S. Allen']
VideoDB,null,null,['Anup Gosavi']
Videoit,null,null,['Dax Percey Abraham']
Vijayi WFH Technologies,null,null,['Rohit Nagpal']
Vikalp India,null,null,['Pramod Kumar']
Vinci,null,null,"['Pavel Tkachenko', 'Adrien Cathala', 'Tia Kenza']"
Viral Bug Digital Marketing,null,null,['Viral Bug']
ViralMe,null,null,['Anurag Jhaver']
ViralNews360,null,null,['Karan Mishra']
Vision Unlimited,null,null,['Anas Iqbal']
Visit Health,null,null,['Ashish Khoshya']
Vissva Fintech,null,null,['Sharad Ingule']
Vistras Technologies,null,null,['Peeyush Tekriwal']
VitaWerks,null,null,['Aditya Mangal']
Vizmo,null,null,"['Rahul Vaswani', 'Hari Prasad']"
Vocaldesk,null,null,['Abhishek Mishra']
VoicePlug,null,null,"['Mark Allen', 'Shweta Ruparel', 'Randy Chin', 'Jay Ruparel']"
VoiceQube,null,null,['SATYA TEJA']
Voizworks,null,null,"['Mamta Sharma', 'Sajitha Sulfikar', 'Sajitha Hussain']"
Vrid,null,null,['Vrid Admin']
Vserve Ebusiness Solutions,null,null,"['Murthy R', 'Lionel Paul J', 'Pavithran R']"
vyasticreation,null,null,['Vishal verma']
VYB,null,null,['Adit Gupta']
VyomOS Pvt.Ltd,null,null,"['Kritika Pathak', 'Shitiz Bansal', 'Amardeep Saini']"
WarpDrive Tech Works,null,null,['Maulik Doshi']
WD Immigration Consultant,null,null,['WD Immigration Consultants']
WealthKernel,null,null,['Karan Shanmugarajah']
Web3Firewall,null,null,"['Kay Recruiter', 'Ruby A', 'Saif W3F']"
WebBookingPro,null,null,['Francisco Bautista']
WeDigIT,null,null,"['keshav saini', 'Bhushan Panchal', 'Proshanto Gupta']"
WedMeGood,null,null,['Anand Shahani']
Wednesday Solutions,null,null,"['Mohammed Ali Chherawalla', 'Ali Hafizji']"
Weskill,null,null,['Francisco Cal']
Whale Navigator,null,null,['Emmanuel Darshan']
WhatBytes,null,null,"['Oluwadamilare Oloruntoba', 'Aditya Agrawal', 'Harsh Prajapati']"
WhatsDesk,null,null,['Satya W']
Whichi,null,null,['Mohammad Aqueeb']
WHITE Natural Wellness,null,null,['Ritu Garg']
White Path,null,null,['Rishabh TM']
Wingify,null,null,"['Sparsh Gupta', 'Paras Chopra']"
WisdomCircle,null,null,['Aman Dalmia']
Wishlink,null,null,"['Janvi Mahajan', 'Srishti Ramani']"
Wizdomapp,null,null,"['Rajkishor Mishra', 'Rajkishor Mishra', 'Wizdom app']"
Wokelo.ai,null,null,"['Saswat Nanda', 'Siddhant Masson']"
WooChat,null,null,['Samkitkumar Jain']
Woodoo,null,null,['Buy Clear Skin Face Wash - Woodoo']
Worck,null,null,"['vishal sharma', 'Jillan Khan']"
work4flow.com,null,null,"['Sanjay K Gupta', 'Sanjay Gupta']"
WRITER INFORMATION MANAGEMENT SERVICES,null,null,"['Shama Khan', 'Rudra Ghosh']"
WritoHub,null,null,['love sogarwal']
Wunderman Thompson,null,null,"['Kostas Karanikolas', 'Aurora guijarro', 'Lu Tapuch']"
www.tanishakatara.com,null,null,['Tanisha Katara']
Wylo,null,null,['Omnath Premnath']
Wysa,null,null,['Vinod Subramanian']
Xebia,null,null,"['Arjit Yadav', 'Vijay S', 'Xebia']"
Xigma Productions,null,null,['Pavan M']
Xtract.io,null,null,['Pratima Rajesh']
Yappes,null,null,"['Madhusudhan Jain (MJ)', 'Bhanu Kumar Jain', 'Rajagopal Somasundaram']"
Yapsody India,null,null,['Darren Seiden']
yMedia,null,null,['Ignaoio Esteire']
YOLoud,null,null,"['Saswoti Das', 'Disha Goyal']"
Yugen,null,null,"['Palak Agrawal', 'Himanshu Rawat']"
Yulu Bikes,null,null,['Amit Gupta']
Zeeyft,null,null,"['Ocal Selcuk', 'Kenan Geyyas', 'Lana Pilishvili']"
Zell Education,null,null,['Pratham Barot']
Zelthy,null,null,['Kaustubh Chandrabhan']
Zemora Softwares,null,null,['Vaibhav Poddar']
Zenvoya,null,null,['Swapnil Agarwal']
Zeproc,null,null,['Digvijay Rajan Mahajan']
Zero65 Technologies,null,null,['shivam Verma']
Zethic,null,null,"['Sidharth Raveendran', 'Ram Nethaji']"
zime.ai,null,null,['Sanchit Garg']
Zingmind Technologies,null,null,"['Yash chouhan', 'Sandeep Shakya', 'Reema Gupta']"
Zino technologies,null,null,['null']
Zintellix,null,null,['Prabhhav Sharma']
Zintlr,null,null,['Zintlr Private Limited']
Zluri,null,null,"['Ritish Reddy', 'Chaithanya Y', 'Ritish Reddy']"
Zobaze,null,null,['Karthik Sutrave']
ZopSmart,null,null,"['Mukesh Singh', 'Sanket Mehta', 'Vikash Kumar']"
Zylu,null,null,['Kumaravel Subramani']
Zyra,null,null,['Jeff Cook']
